Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360,11760,12240,13190,13990,14620,15640,16240,16370,17220,17620,17880,20000,20020,18630,20180,22740,19250,23580,22360,26660,24380,23090,23220,24330,25430,25750,26160,26650,27740,28330,28920,23070,
Africa Eastern and Southern,AFE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,630.002213601131,601.349396109922,536.351275938662,531.618960715337,589.930483178166,679.225467108968,721.709725745911,729.885793667288,768.674336924913,718.627598070619,709.451476904452,698.789885408793,733.443797619866,748.766205430173,751.766496781974,693.821318009675,671.949572219038,666.738457999301,639.670443987976,624.363656662954,674.488409303844,820.910264549644,1027.5626461864,1156.23016219438,1267.42988463038,1353.31558054914,1373.73054369734,1449.38694982585,1586.63986097829,1698.80815719012,1731.83465927064,1712.65340895441,1595.75352120869,1475.97971641498,1459.51755385162,1464.99537466535,1506.73192051311,1397.54338956511,1475.69736062533
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,510,530,630,650,630,590,550,530,510,520,500,
Africa Western and Central,AFW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,113.681159518667,122.149868332232,128.208610271661,133.152826621558,136.073909620055,128.78980155872,130.415396000804,143.032579910116,170.464713934569,179.002719057289,192.907329167733,216.294789434439,300.837384885223,358.214565581745,422.638617862644,455.230980050508,478.736239010382,558.914898740544,646.020975257165,762.946701489237,876.47381299758,925.185228556942,757.908978360489,685.766269807711,623.020900165642,614.855199314856,630.142730514708,563.566142614292,556.064934971849,541.615034278794,552.706110742116,471.932142835486,416.30040652025,407.932974781478,427.100328872701,465.582033284842,463.578067222947,465.941625022203,456.078966073079,480.250788770928,525.036000731004,587.691918617213,714.623923465943,844.720621001727,1032.38535747033,1199.48725606995,1446.61498932109,1518.55719418297,1575.91545569087,1605.75683572412,1774.06726894128,1931.83150163743,2094.40501122793,2005.30632501013,1782.17439426541,1611.49767282406,1611.87005089623,1669.28410605469,1651.55233916252,1728.85037616199
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,590,680,660,650,850,780,900,330,290,180,370,360,450,410,330,360,390,590,710,1010,1370,1810,2460,3030,3170,3220,3370,4080,4670,4830,3920,2480,2010,1900,2070,1780,1770
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,700,730,730,760,650,410,280,320,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4040,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,5230,5260,6110
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46040,,
Arab World,ARB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,2937.91655440819,2561.69652599061,2521.60665190844,2480.61098479807,2633.09484778919,2678.52669259164,2734.83565867793,2631.56626479024,3049.27926644657,2304.45287885976,2269.09286703017,2150.7465081896,2131.55029945705,2184.49454253665,2314.61298244041,2426.24213945366,2440.09583959796,2455.02932177677,2614.36623481831,2725.91191808459,2688.91919772714,2869.17253601863,3327.89710078304,3790.59612177281,4378.61273550558,5034.8895304653,5889.97993331503,5997.45469764784,6291.94658321321,6320.28466072557,7038.8424176615,7436.62261454255,7475.88194511242,6995.51052215396,6563.46462456258,6148.39504322419,6316.51408002561,6509.02504963069,6031.86807807698,
United Arab Emirates,ARE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400,31970,30940,32780,36160,37500,39380,39590,39910,35000,33400,35030,39220,42840,44370,42870,40550,39280,41470,43830,39410,
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,1120,1230,1350,1240,1210,1300,1320,1470,1470,1820,2470,2720,2360,2220,2190,2630,2910,2820,2670,2870,2830,2700,3020,3590,3960,2930,3190,3860,6070,7120,7620,7360,7740,8150,8030,7580,7470,7000,4040,3650,3370,4260,5480,6510,7670,7800,9270,10710,11890,12870,12350,12600,12220,13140,12430,11260,9080,10050
